,Lambda,MSE,MSE_formula
0,7.0,6.23402464374651e-05,6.234024643746512e-05
1,7.0201005025126,3.651922044004225e-05,3.651922044004224e-05
2,7.0402010050251,2.557285351787111e-05,2.5572853517871118e-05
3,7.0603015075377,2.3113999821763684e-05,2.3113999821763688e-05
4,7.0804020100503,2.4874548384351298e-05,2.4874548384351288e-05
5,7.1005025125628,2.816481866306215e-05,2.816481866306216e-05
6,7.1206030150754,3.1415661600284984e-05,3.141566160028498e-05
7,7.1407035175879,3.385772402305008e-05,3.385772402305009e-05
8,7.1608040201005,3.523237195973983e-05,3.5232371959739855e-05
9,7.1809045226131,3.55998811927904e-05,3.55998811927904e-05
10,7.2010050251256,3.5148143203054466e-05,3.514814320305447e-05
11,7.2211055276382,3.42393410361172e-05,3.4239341036117215e-05
12,7.2412060301508,3.3148701792875964e-05,3.314870179287595e-05
13,7.2613065326633,3.2122983035483935e-05,3.212298303548395e-05
14,7.2814070351759,3.135469038208337e-05,3.135469038208336e-05
15,7.3015075376884,3.082959275248259e-05,3.08295927524826e-05
16,7.321608040201,3.0839886922515825e-05,3.083988692251583e-05
17,7.3417085427136,3.125604079077544e-05,3.125604079077544e-05
18,7.3618090452261,3.201262318517079e-05,3.2012623185170796e-05
19,7.3819095477387,2.4928594318786824e-05,2.4928594318786817e-05
20,7.4020100502513,2.5467633292049916e-05,2.5467633292049927e-05
21,7.4221105527638,2.6110209820561972e-05,2.6110209820561993e-05
22,7.4422110552764,2.663911084026436e-05,2.6639110840264362e-05
23,7.4623115577889,2.7121135944210333e-05,2.7121135944210353e-05
24,7.4824120603015,2.7285870359740877e-05,2.7285870359740887e-05
25,7.5025125628141,2.72528154122318e-05,2.725281541223181e-05
26,7.5226130653266,2.679103925258836e-05,2.6791039252588367e-05
27,7.5427135678392,2.6068962634606788e-05,2.6068962634606825e-05
28,7.5628140703518,2.4907268279346933e-05,2.4907268279346957e-05
29,7.5829145728643,2.3521850805626598e-05,2.3521850805626605e-05
30,7.6030150753769,2.1768504797791135e-05,2.176850479779115e-05
31,7.6231155778894,1.9899431799316897e-05,1.9899431799316907e-05
32,7.643216080402,1.7808613901255836e-05,1.780861390125582e-05
33,7.6633165829146,1.5716317532444505e-05,1.5716317532444505e-05
34,7.6834170854271,1.360838086687862e-05,1.3608380866878631e-05
35,7.7035175879397,1.1601313655302814e-05,1.1601313655302807e-05
36,7.7236180904523,9.841320834077109e-06,9.841320834077114e-06
37,7.7437185929648,8.280178185826288e-06,8.280178185826285e-06
38,7.7638190954774,7.055157478701798e-06,7.055157478701805e-06
39,7.78391959799,6.272213666574788e-06,6.272213666574791e-06
40,7.8040201005025,5.80921760466858e-06,5.8092176046685785e-06
41,7.8241206030151,5.714333383705625e-06,5.714333383705632e-06
42,7.8442211055276,6.027351415852085e-06,6.027351415852087e-06
43,7.8643216080402,6.7709110106892135e-06,6.770911010689207e-06
44,7.8844221105528,7.831240594054843e-06,7.831240594054846e-06
45,7.9045226130653,9.256002759681373e-06,9.256002759681375e-06
46,7.9246231155779,1.0969389932336199e-05,1.09693899323362e-05
47,7.9447236180905,1.301803529412516e-05,1.3018035294125156e-05
48,7.964824120603,1.520603491887347e-05,1.5206034918873472e-05
49,7.9849246231156,1.7594555967284744e-05,1.759455596728473e-05
50,8.0050251256281,2.011397693554752e-05,2.0113976935547516e-05
51,8.0251256281407,2.2714754635608454e-05,2.2714754635608464e-05
52,8.0452261306533,2.5361237011318293e-05,2.536123701131831e-05
53,8.0653266331658,2.797761571179194e-05,2.797761571179195e-05
54,8.0854271356784,3.0511513949187648e-05,3.051151394918764e-05
55,8.105527638191,3.291025920833239e-05,3.29102592083324e-05
56,8.1256281407035,3.512064556573988e-05,3.5120645565739865e-05
57,8.1457286432161,3.711082847392963e-05,3.71108284739296e-05
58,8.1658291457286,3.88616750787818e-05,3.886167507878182e-05
59,8.1859296482412,4.034990893346105e-05,4.0349908933461065e-05
60,8.2060301507538,4.157410339310902e-05,4.1574103393108974e-05
61,8.2261306532663,4.2531784643445544e-05,4.253178464344557e-05
62,8.2462311557789,4.3218629345103285e-05,4.32186293451033e-05
63,8.2663316582915,4.3609718369051746e-05,4.360971836905174e-05
64,8.286432160804,4.3818885580191427e-05,4.3818885580191454e-05
65,8.3065326633166,4.3780766127439895e-05,4.378076612743992e-05
66,8.3266331658291,4.3509456946389e-05,4.3509456946389e-05
67,8.3467336683417,4.306625389293023e-05,4.306625389293024e-05
68,8.3668341708543,4.2444467927350366e-05,4.244446792735044e-05
69,8.3869346733668,4.151892449300412e-05,4.151892449300408e-05
70,8.4070351758794,4.059918555468877e-05,4.05991855546887e-05
71,8.427135678392,3.956508628738682e-05,3.956508628738679e-05
72,8.4472361809045,3.8430251548216e-05,3.8430251548215956e-05
73,8.4673366834171,3.7220612244131565e-05,3.722061224413156e-05
74,8.4874371859296,3.57997879164992e-05,3.579978791649915e-05
