,Lambda,MSE,MSE_formula
0,7.0,6.301304329628832e-05,6.301304329628832e-05
1,7.0201005025126,5.134826640607873e-05,5.134826640607872e-05
2,7.0402010050251,4.0747463451819376e-05,4.074746345181936e-05
3,7.0603015075377,3.131055268260056e-05,3.131055268260057e-05
4,7.0804020100503,2.311444738570527e-05,2.311444738570527e-05
5,7.1005025125628,1.6216616216831876e-05,1.621661621683189e-05
6,7.1206030150754,1.0624301966951962e-05,1.0624301966951957e-05
7,7.1407035175879,6.3272181542335996e-06,6.327218154233595e-06
8,7.1608040201005,3.272440079908686e-06,3.272440079908687e-06
9,7.1809045226131,1.3884262987215658e-06,1.3884262987215656e-06
10,7.2010050251256,5.90696512781446e-07,5.906965127814452e-07
11,7.2211055276382,6.980295521385405e-07,6.980295521385399e-07
12,7.2412060301508,1.6165782401630856e-06,1.6165782401630856e-06
13,7.2613065326633,3.202169103426702e-06,3.2021691034267037e-06
14,7.2814070351759,5.310420125286034e-06,5.3104201252860295e-06
15,7.3015075376884,7.725200365796359e-06,7.72520036579636e-06
16,7.321608040201,1.0434163872460546e-05,1.0434163872460546e-05
17,7.3417085427136,1.325400995922757e-05,1.3254009959227562e-05
18,7.3618090452261,1.6064675956147037e-05,1.6064675956147034e-05
19,7.3819095477387,1.3602064546178198e-05,1.3602064546178198e-05
20,7.4020100502513,1.52315006580534e-05,1.5231500658053393e-05
21,7.4221105527638,1.6673217040736384e-05,1.667321704073638e-05
22,7.4422110552764,1.7813743790703633e-05,1.781374379070363e-05
23,7.4623115577889,1.8719077524337835e-05,1.871907752433782e-05
24,7.4824120603015,1.92478817142076e-05,1.9247881714207594e-05
25,7.5025125628141,1.9528948161463247e-05,1.9528948161463247e-05
26,7.5226130653266,1.9418087859785778e-05,1.9418087859785785e-05
27,7.5427135678392,1.90883271629226e-05,1.908832716292258e-05
28,7.5628140703518,1.839748197543429e-05,1.839748197543428e-05
29,7.5829145728643,1.7556063401219817e-05,1.7556063401219807e-05
30,7.6030150753769,1.6416161855030013e-05,1.641616185503003e-05
31,7.6231155778894,1.5212412944124793e-05,1.5212412944124793e-05
32,7.643216080402,1.3801739389302198e-05,1.3801739389302208e-05
33,7.6633165829146,1.2386587598986418e-05,1.2386587598986418e-05
34,7.6834170854271,1.0873998101957694e-05,1.0873998101957695e-05
35,7.7035175879397,9.43291824992388e-06,9.432918249923893e-06
36,7.7236180904523,8.140437950510428e-06,8.140437950510424e-06
37,7.7437185929648,6.8749615494101965e-06,6.874961549410202e-06
38,7.7638190954774,5.749773152589185e-06,5.7497731525891805e-06
39,7.78391959799,4.867419773891939e-06,4.8674197738919365e-06
40,7.8040201005025,4.100361652993664e-06,4.100361652993664e-06
41,7.8241206030151,3.549883056582283e-06,3.5498830565822793e-06
42,7.8442211055276,3.2243454000836455e-06,3.224345400083644e-06
43,7.8643216080402,3.1815629872081383e-06,3.181562987208139e-06
44,7.8844221105528,3.3266418630089866e-06,3.326641863008986e-06
45,7.9045226130653,3.695439546961703e-06,3.695439546961697e-06
46,7.9246231155779,4.287238389492857e-06,4.287238389492858e-06
47,7.9447236180905,5.139877168211432e-06,5.139877168211431e-06
48,7.964824120603,6.136345127150111e-06,6.136345127150111e-06
49,7.9849246231156,7.305079468992336e-06,7.305079468992341e-06
50,8.0050251256281,8.6251661229156e-06,8.625166122915597e-06
51,8.0251256281407,1.0076967287850208e-05,1.00769672878502e-05
