,Lambda,MSE,MSE_formula
0,7.0,0.0004300081008667918,0.00043000810086679203
1,7.0201005025126,0.00023267053690704495,0.0002326705369070449
2,7.0402010050251,0.00011886422823855908,0.00011886422823855907
3,7.0603015075377,5.8666411907037725e-05,5.866641190703771e-05
4,7.0804020100503,3.1178218849321205e-05,3.117821884932121e-05
5,7.1005025125628,2.2266267078650747e-05,2.2266267078650743e-05
6,7.1206030150754,2.271299848707073e-05,2.2712998487070723e-05
7,7.1407035175879,2.6842170631582267e-05,2.684217063158227e-05
8,7.1608040201005,3.1408039922929113e-05,3.1408039922929113e-05
9,7.1809045226131,3.4799947585659234e-05,3.479994758565923e-05
10,7.2010050251256,3.639347589988623e-05,3.639347589988621e-05
11,7.2211055276382,3.632623748268558e-05,3.632623748268557e-05
12,7.2412060301508,3.4946641239369174e-05,3.4946641239369174e-05
13,7.2613065326633,3.2757915617462896e-05,3.275791561746289e-05
14,7.2814070351759,3.0281184140913885e-05,3.0281184140913892e-05
15,7.3015075376884,2.783315655312765e-05,2.783315655312765e-05
16,7.321608040201,2.600815379989056e-05,2.600815379989056e-05
17,7.3417085427136,2.490579680174252e-05,2.4905796801742516e-05
18,7.3618090452261,2.462559093310276e-05,2.4625590933102766e-05
19,7.3819095477387,1.820469862764988e-05,1.8204698627649886e-05
20,7.4020100502513,1.9160708416142946e-05,1.9160708416142943e-05
21,7.4221105527638,2.0768637634634602e-05,2.0768637634634615e-05
22,7.4422110552764,2.2770725157186154e-05,2.2770725157186158e-05
23,7.4623115577889,2.5062067699718574e-05,2.5062067699718615e-05
24,7.4824120603015,2.7321595590663338e-05,2.732159559066334e-05
25,7.5025125628141,2.9459022963938575e-05,2.9459022963938572e-05
26,7.5226130653266,3.1199901500089284e-05,3.1199901500089304e-05
27,7.5427135678392,3.2511379391977884e-05,3.251137939197791e-05
28,7.5628140703518,3.320641527625953e-05,3.3206415276259534e-05
29,7.5829145728643,3.3333922209443035e-05,3.333392220944304e-05
30,7.6030150753769,3.2787796513891766e-05,3.278779651389175e-05
31,7.6231155778894,3.171775508968519e-05,3.171775508968518e-05
32,7.643216080402,3.0112630808610437e-05,3.011263080861043e-05
33,7.6633165829146,2.8140017081318475e-05,2.8140017081318458e-05
34,7.6834170854271,2.4521841594584337e-05,2.4521841594584313e-05
35,7.7035175879397,2.025624921213295e-05,2.0256249212132952e-05
36,7.7236180904523,1.686644107745518e-05,1.6866441077455204e-05
37,7.7437185929648,1.4392258956749357e-05,1.4392258956749343e-05
38,7.7638190954774,1.2555125476297564e-05,1.2555125476297561e-05
39,7.78391959799,1.086674950729234e-05,1.086674950729234e-05
40,7.8040201005025,9.237802791933517e-06,9.237802791933515e-06
41,7.8241206030151,7.851601289068698e-06,7.851601289068701e-06
42,7.8442211055276,6.858438796232685e-06,6.85843879623268e-06
43,7.8643216080402,6.354272581570097e-06,6.3542725815701e-06
44,7.8844221105528,6.299253434052788e-06,6.299253434052785e-06
45,7.9045226130653,6.7135324024327845e-06,6.713532402432786e-06
46,7.9246231155779,7.581630097887112e-06,7.581630097887111e-06
47,7.9447236180905,8.90010785895685e-06,8.900107858956858e-06
48,7.964824120603,1.0508880926929473e-05,1.0508880926929473e-05
49,7.9849246231156,1.2414611520566405e-05,1.2414611520566395e-05
50,8.0050251256281,1.4541886679195651e-05,1.4541886679195653e-05
51,8.0251256281407,1.680923780308857e-05,1.6809237803088566e-05
52,8.0452261306533,1.9150032636504906e-05,1.9150032636504882e-05
53,8.0653266331658,2.1501496390238595e-05,2.15014963902386e-05
54,8.0854271356784,2.3789286171105684e-05,2.3789286171105688e-05
55,8.105527638191,2.5949604412241554e-05,2.5949604412241537e-05
56,8.1256281407035,2.792542301146619e-05,2.792542301146621e-05
57,8.1457286432161,2.9680909365103693e-05,2.9680909365103686e-05
58,8.1658291457286,3.118986152325109e-05,3.118986152325109e-05
59,8.1859296482412,3.242020075593935e-05,3.2420200755939316e-05
60,8.2060301507538,3.337797353512199e-05,3.337797353512197e-05
61,8.2261306532663,3.405876034350804e-05,3.405876034350805e-05
62,8.2462311557789,3.446947048340671e-05,3.446947048340671e-05
63,8.2663316582915,3.456244123168069e-05,3.456244123168066e-05
64,8.286432160804,3.4519797836479086e-05,3.451979783647906e-05
65,8.3065326633166,3.4257510311698884e-05,3.425751031169889e-05
66,8.3266331658291,3.379786192577598e-05,3.379786192577599e-05
67,8.3467336683417,3.323125406810085e-05,3.323125406810084e-05
